ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	MORPHEMES	COMMENT	SOURCE	PROTO_SET	ENTRY_IN_SOURCE	CONCEPT_IN_SOURCE	UNCERTAIN_COGNACY
4072	rⁿ i s i	205		unclear	Proto-Panoan	[n]isi		rⁿ i s i		None	Oliveira2014	§280	*[n]isi ‘unclear’ :		None
4073	n i s i	205		species of palm	Kakataibo	nisi		n i s i		None		§280	Ksh nisi ‘esp. de palmeira’		None
4074	n i ʃ i	205		unclear	ShipiboKonibo	niʃi		n i ʃ i		None		§280	SK niʃi		None
4075	n i ʃ i	205		unclear	Kapanawa	niʃi		n i ʃ i		None		§280	Kp niʃi		None
4076	n i ʃ i	205		unclear	Chakobo	niʃi		n i ʃ i		None		§280	Ch niʃi ‘hamaca’		None
4077	n i ʃ i	205		unclear	Amawaka	niʃi_I		n i ʃ i		None		§280	A niʃi I		None
4078	n i ʃ i	205		unclear	Kaxinawa	niʃi		n i ʃ i		None		§280	Kn niʃi		None
4079	n i ʃ i	205		unclear	Marinawa	niʃi		n i ʃ i		None		§280	M niʃi ‘parra’		None
4080	rⁿ i - ʃ ( - - - )	206		to get bored	Proto-Panoan	[n]iʃ-		rⁿ i ʃ		None	Oliveira2014	§281	*[n]iʃ- ‘aborrecer-se’ :		None
4081	n i - ʃ ( - - - )	206		to get bored	Kakataibo	niʃ-		n i ʃ		None		§281	Ksh niʃ- ‘estar enojado’		None
4082	n i - ʂ ( m a i )	206		to get bored	Sharanawa	niʂmai		n i ʂ m a i		None		§281	Shar niʂmai, niʂmaa ‘calmarse’		None
4083	n i - ʂ ( m a a )	206		to get bored	Sharanawa	niʂmaa		n i ʂ m a a		None		§281	Shar niʂmai, niʂmaa ‘calmarse’		None
4084	n i - ʃ ( m a a )	206		to get bored	Amawaka	niʃmaa-		n i ʃ m a a		II		§281	A niʃmaa- II ‘estar quieto’ (-ma negativo;;  juego 493)		None
4085	n ɨ j ʃ ( - - - )	206		to get bored	Mayoruna	ˈnɨyʃ		n ɨ j ʃ		None		§281	My nɨiʃ [ˈnɨyʃ] ‘enojarse;;  molestarse’		None
4086	rⁿ i w ɨ ( - )	207		wind	Proto-Panoan	[n]iwɨ		rⁿ i w ɨ		None	Oliveira2014	§282	*[n]iwɨ ‘vento’ :		None
4087	n i - ɨ ( - )	207		wind	Kakataibo	niɨ		n i ɨ		None		§282	Ksh niɨ ‘temblor’, **soño ‘viento’		None
4088	s o ɲ o - - -	518		breeze	Kakataibo	soño		s o ɲ o		None		§282	Ksh niɨ ‘temblor’, **soño ‘viento’		1
4089	n i w ɨ ( - )	207		wind	ShipiboKonibo	niwɨ		n i w ɨ		None		§282	SK niwɨ		None
4090	n i w ɨ ( - )	207		breeze	Kapanawa	niwɨ		n i w ɨ		None		§282	Kp niwɨ ‘viento’		None
4091	n i w ɨ ( - )	207		wind	Sharanawa	niwɨ		n i w ɨ		None		§282	Shar niwɨ, niwɨn ‘viento’		None
4092	n i w ɨ ( n )	207		breeze	Sharanawa	niwɨn		n i w ɨ n		None		§282	Shar niwɨ, niwɨn ‘viento’		None
4093	n i f u ( - )	207		wind	Shanenawa	nifu		n i f u		None		§282	Shan nifu ‘vento’		None
4094	n i w i ( - )	207		wind	Katukina	niwi		n i w i		None		§282	Kat niwi ‘vento’		None
4095	n i !j/w ɨ ( - )	207		breeze	Amawaka	niyɨ		n i !j/w ɨ		II		§282	A niyɨ II ‘viento’		None
4096	n i w ɨ ( - )	207		breeze	Kaxinawa	niwɨ		n i w ɨ		None		§282	Kn niwɨ ‘viento’, niwɨ ‘soplar’		None
4097	n i w ɨ ( - )	207		wind	Kaxinawa	niwɨ		n i w ɨ		None		§282	Kn niwɨ ‘viento’, niwɨ ‘soplar’		None
4098	n i w ɨ ( - )	207		wind	Marinawa	niwɨ-		n i w ɨ		None		§282	M niwɨ- ‘soplar (el viento)’, níwɨ ‘viento’		None
4099	n !í/i w ɨ ( - )	207		breeze	Marinawa	níwɨ		n !í/i w ɨ		None		§282	M niwɨ- ‘soplar (el viento)’, níwɨ ‘viento’		None
4100	n ɨ u ɨ ( - )	207		wind	Yawanawa	nɨuɨ		n ɨ u ɨ		None		§282	Yaw nɨuɨ ‘vento’		None
4101	n o ( - - - )	208		we	Proto-Panoan	no[-]		n o		None	Oliveira2014	§283	*no[-] ‘nós;;  nos’ :		None
4102	n o ( - - - )	208		we	Kakataibo	no-		n o		None		§283	Ksh no-		None
4103	n o ( - - - )	208		we	ShipiboKonibo	no-		n o		None		§283	SK no-		None
4104	n o ( - - - )	208		we	Kapanawa	no-		n o		None		§283	Kp no-		None
4105	n o ( - - - )	208		we	Chakobo	no		n o		None		§283	Ch no, no- ‘nosotros’		None
4106	n o ( - - - )	208		we	Chakobo	no-		n o		None		§283	Ch no, no- ‘nosotros’		None
4107	n o ( - - - )	208		we	Amawaka	no-		n o		None		§283	A no-		None
4108	n u ( - - - )	208		we	Kaxinawa	nu-		n u		None		§283	Kn nu-		None
4109	n o ( - - - )	208		we	Marinawa	no-		n o		None		§283	M no-, noko		None
4110	n o ( k - o )	208		we	Marinawa	noko		n o k o		None		§283	M no-, noko		None
4111	n u ( k m i )	208		we	Korubo	nukmi		n u k m i		None		§283	Ko nukmi ‘nós;;  nosso’		None
4112	n u ( k - i )	208		we	Matis	nuki		n u k i		None		§283	Mt nuki ‘nós;;  nosso’		None
4113	rⁿ o a	209		deep	Proto-Panoan	[n]oa-		rⁿ o a		None	Oliveira2014	§284	*[n]oa- ‘profundo’ :		None
4114	n o a	209		deep	ShipiboKonibo	noa-		n o a		None		§284	SK noa- ‘taladrar horizontalmente’, **nóa ‘punzar con algo pontiagudo’ (LORIOT; LAURIAULT; DAY;; 1993)		None
4115	n ó/o a	655		deep	ShipiboKonibo	nóa		n ó/o a		None	Loriot1993	§284	SK noa- ‘taladrar horizontalmente’, **nóa ‘punzar con algo pontiagudo’ (LORIOT; LAURIAULT; DAY;; 1993)		1
4116	n o a	209		deep	Kapanawa	noa		n o a		None	Loos1998	§284	Kp noa ‘pozo (hondura en la vuelta de un río)’ (LOOS; LOOS;; 1998)		None
4117	n o a	209		deep	Yaminawa	noa		n o a		None	Eakin2008	§284	Yam noa ‘profundo’ (EAKEN;; 2008)		None
4118	d o a	209		deep	Chaninawa	doa		d o a		None		§284	Chan doa ‘profundo;; hondo’		None
4119	n o a	209		deep	Sharanawa	noa		n o a		None		§284	Shar noa ‘profundo;; hondo’		None
4120	n u a	209		river	Katukina	nua		n u a		None		§284	Kat nua ‘rio’		None
4121	d u -	209		poke, pierce, inject, drill	Poyanawa	du		d u		None		§284	Poy du ‘furar’		None
4122	n u a	209		deep	Kaxinawa	nua-		n u a		None		§284	Kn nua- ‘insertar;; profundo’		None
4123	n u a	209		deep	Yawanawa	nua		n u a		None		§284	Yaw nua ‘fundo’		None
4124	n u a	209		big	Korubo	nua		n u a		None		§284	Ko nua ‘grande’		None
4125	n u á/a	209		deep	Mayoruna	nwá		n u á/a		None		§284	My nua [nwá] ‘grande;; ancho;; grueso;; gordo;; mucho;; insertar;; profundo’		None
4126	rⁿ o ʔ tʃ o ( - )	210		species of snail	Proto-Panoan	[n]oʔtʃo		rⁿ o ʔ tʃ o		None	Oliveira2014	§285	*[n]oʔtʃo ‘esp. de caramujo’ :		None
4127	n o - tʃ o ( - )	210		species of snail	Kakataibo	notʃo		n o tʃ o		None		§285	Ksh notʃo		None
4128	n o - tʃ o ( - )	210		species of snail	ShipiboKonibo	notʃo		n o tʃ o		None		§285	SK notʃo		None
4129	n o ʔ tʃ o ( - )	210		species of snail	Kapanawa	noʔtʃo		n o ʔ tʃ o		None		§285	Kp noʔtʃo		None
4130	n o - tʃ o ( - )	210		species of snail	Sharanawa	notʃo		n o tʃ o		None		§285	Shar notʃo, notʃon		None
4131	n o - tʃ o ( n )	210		species of snail	Sharanawa	notʃon		n o tʃ o n		None		§285	Shar notʃo, notʃon		None
4132	n o - tʃ o ( - )	210		species of snail	Amawaka	notʃo		n o tʃ o		II		§285	A notʃo II		None
4133	n u - tʃ u ( - )	210		species of snail	Kaxinawa	nutʃu		n u tʃ u		None		§285	Kn nutʃu		None
4134	n ó/o - tʃ ó/o ( - )	210		species of snail	Marinawa	nótʃó		n ó/o tʃ ó/o		None		§285	M nótʃó		None
4135	n o ʔ i r ( - - - )	211		earthworm	Proto-Panoan	noʔir		n o ʔ i r		None	Oliveira2014	§286	*noʔir ‘minhoca’ :		None
4136	n o - i - ( - - - )	211		earthworm	Kakataibo	noi		n o i		None		§286	Ksh noi		None
4137	n o - !í/i - ( - n - )	211		earthworm	ShipiboKonibo	noín		n o !í/i n		None		§286	SK noín, nóiman ‘lombriz’ (LORIOT; LAURIAULT; DAY;; 1993)		None
4138	n !ó/o - i - ( m a n )	211		earthworm	ShipiboKonibo	nóiman		n !ó/o i m a n		None	Loriot1993	§286	SK noín, nóiman ‘lombriz’ (LORIOT; LAURIAULT; DAY;; 1993)		None
4139	n o ʔ !í/i n ( - - - )	211		earthworm	Kapanawa	noʔín		n o ʔ !í/i n		None		§286	Kp noʔín		None
4140	n u - i ~ ( - - - )	211		earthworm	Marubo	nuˈĩ		n u i ~		None		§286	Mar nuˈĩ ‘minhoca’		None
4141	n o ʔ i - ( n i - )	211		earthworm	Chakobo	noˈʔini		n o ʔ i n i		None		§286	Ch noˈʔini, noˈʔi ‘el bicho (parásito);; la lombris;; el gusano’		None
4142	n o ʔ i - ( - - - )	211		earthworm	Chakobo	noˈʔi		n o ʔ i		None		§286	Ch noˈʔini, noˈʔi ‘el bicho (parásito);; la lombris;; el gusano’		None
4143	n.j u - i - ( - - - )	211		earthworm	Kaxarari	njuˈ'i		n.j u i		None	Couto2005	§286	Kax njuˈli [njuˈ'i] ‘verme’ (COUTO;; 2005), uˈli [oˈli] (LANES;; 2005)		None
4144	- o l i - ( - - - )	211		earthworm	Kaxarari	oˈli		o l i		None	Lanes2005	§286	Kax njuˈli [njuˈ'i] ‘verme’ (COUTO;; 2005), uˈli [oˈli] (LANES;; 2005)		None
4145	n o - i n ( - - - )	211		earthworm	Sharanawa	noin		n o i n		None		§286	Shar noin, noinin ‘lombriz;; gusano’		None
4146	n o - i n ( i n - )	211		earthworm	Sharanawa	noinin		n o i n i n		None		§286	Shar noin, noinin ‘lombriz;; gusano’		None
4147	n u - i - ( - - - )	211		earthworm	Shanenawa	nui		n u i		None		§286	Shan nui ‘verme’, nuin ‘minhoca’		None
4148	n u - i - ( - n - )	211		earthworm	Shanenawa	nuin		n u i n		None		§286	Shan nui ‘verme’, nuin ‘minhoca’		None
4149	n o - i n ( - - - )	211		earthworm	Katukina	noin		n o i n		None		§286	Kat noin ‘minhoca’		None
4150	n ũ - j - ( - - - )	211		earthworm	Poyanawa	nũy		n ũ j		None		§286	Poy nũy ‘minhoca’		None
4151	n õ ʔ i - ( - - - )	211		earthworm	Amawaka	nõʔi_I		n õ ʔ i		None		§286	A nõʔi I		None
4152	n u - i - ( - - - )	211		earthworm	Kaxinawa	nui		n u i		None		§286	Kn nui		None
4153	n o - i - ( - - - )	211		earthworm	Marinawa	noi		n o i		None		§286	M noi		None
4154	n o w e n ( - - - )	211		earthworm	Matis	nowen		n o w e n		None		§286	Mt nowen ‘verme’		None
4155	n - w !é/e n ( - - - )	211		earthworm	Mayoruna	nwén		n w !é/e n		None		§286	My nuen [nwén] ‘gusano’		None
4156	rⁿ o β o	212		species of snail	Proto-Panoan	[n]oβo		rⁿ o β o		None	Oliveira2014	§287	*[n]oβo ‘esp. de caramujo’ :		None
4157	n o β o	212		species of snail	Kakataibo	noβo		n o β o		None		§287	Ksh noβo		None
4158	n o v o	212		species of snail	Marubo	novo		n o v o		None	Cesarino2008	§287	Mar novo (CESARINO;; 2008)		None
4159	n o w o	212		species of snail	Amawaka	nowo		n o w o		II		§287	A nowo II		None
4160	n u b u	212		species of snail	Kaxinawa	nubu		n u b u		None		§287	Kn nubu ‘caracol grande de río’		None
4161	rⁿ o ( - ) ɨ	213		tasty, delicious	Proto-Panoan	[n]o[ɨ]		rⁿ o ɨ		None	Oliveira2014	§288	*[n]o[ɨ] ‘gostoso;;  delicioso’ :		None
4162	n o ( - ) ɨ	213		tasty, delicious	ShipiboKonibo	noɨ		n o ɨ		None		§288	SK noɨ		None
4163	n o ( w ) ɨ	213		tasty, delicious	Kapanawa	nowɨ		n o w ɨ		None		§288	Kp nowɨ		None
4164	n o ( - ) ɨ	213		smell	Marubo	noɨ		n o ɨ		None		§288	Mar noɨ ‘cheiro’		None
4165	n o ( - ) a	213		tasty, delicious	Chakobo	noa		n o a		None		§288	Ch noa ‘delicioso’		None
4166	n o ( w ) ɨ	213		tasty, delicious	Amawaka	nowɨ		n o w ɨ		II		§288	A nowɨ II ‘sabroso;; de frutas;; nueces’		None
4167	n u ( - ) ɨ	213		tasty, delicious	Kaxinawa	nuɨ		n u ɨ		None		§288	Kn nuɨ ‘delicioso’		None
4168	n u ( - ) ɨ	213		tasty, delicious	Korubo	nuɨ		n u ɨ		None		§288	Ko nuɨ ‘gostoso;; saboroso’		None
4169	n u ( - ) ɨ	213		tasty, delicious	Mayoruna	nuɨ		n u ɨ		None		§288	My nuɨ ‘delicioso’		None
4170	( - - ) rⁿ o ( - ) i ( - - - - - - )	214		to love, to like	Proto-Panoan	[n]oi-		rⁿ o i		None	Oliveira2014	§289	[n]oi- ‘amar;;  gostar’ :		None
4171	( - - ) n o ( - ) i ( - - - - - - )	214		to love, to like	Kakataibo	noi-		n o i		None		§289	Ksh noi- ‘amar;;  seguir’		None
4172	( - - ) n o ( - ) i ( - - - - - - )	214		to love, to like	ShipiboKonibo	noi-		n o i		None		§289	SK noi- ‘amar’		None
4173	( - - ) n o ( - ) i ( + k i n - - )	214		to love, to like	Kapanawa	noi-kin		n o i + k i n		None	Loos1998	§289	Kp noi-kin ‘amar;;  querer’ (LOOS; LOOS;; 1998)		None
4174	( ɨ + ) n o ( - ) i ( + ʃ a v - o )	214		to love, to like	Marubo	ɨ̃_noi_ʃavo		ɨ + n o i + ʃ a v o		None		§289	Mar ɨ̃ noi ʃavo ‘minha esposa amada’		None
4175	( - - ) n o ( - ) i ( - - - - - - )	214		to love, to like	Chakobo	noi		n o i		None		§289	Ch noi ‘amar’		None
4176	( - - ) n o ( - ) i ( + k ĩ - - - )	214		to love, to like	Yaminawa	noi-kĩ		n o i + k ĩ		None	Eakin2008	§289	Yam noi-kĩ ‘amar’ (EAKEN;; 2008)		None
4177	( - - ) n o ( - ) i ( - - - - - - )	214		to love, to like	Sharanawa	noi		n o i		None		§289	Shar noi, noia		None
4178	( - - ) n o ( - ) i ( - - a - - - )	214		to love, to like	Sharanawa	noia		n o i a		None		§289	Shar noi, noia		None
4179	( - - ) n o ( w ) i ( - - - - - - )	214		to love, to like	Amawaka	nowi		n o w i		None		§289	A nowi ‘ser amigable’		None
4180	( - - ) n u ( - ) i ( - - - - - - )	214		to love, to like	Kaxinawa	nui-		n u i		None		§289	Kn nui- ‘tener simpatía a alguien’		None
4181	( - - ) n o ( - ) i ( - k á/a s m á/a )	214		to love, to like	Marinawa	noikásmá-		n o i k á/a s m á/a		None		§289	M noikásmá- ‘enemigo’, nóí		None
4182	( - - ) n !ó/o ( - ) !í/i ( - - - - - - )	214		to love, to like	Marinawa	nóí		n !ó/o !í/i		None		§289	M noikásmá- ‘enemigo’, nóí		None
4183	rⁿ o k a ( - - )	216		to extinguish	Proto-Panoan	[n]oka-		rⁿ o k a		None	Oliveira2014	§290	*[n]oka- ‘apagar’ :		None
4184	n o k a ( - - )	216		to extinguish	ShipiboKonibo	noka-		n o k a		None		§290	SK noka-		None
4185	n o k a ( ʔ i )	216		to extinguish	Kapanawa	nokaʔi		n o k a ʔ i		None	Loos1998	§290	Kp nokaʔi ‘apagarse’ (LOOS; LOOS;; 1998)		None
4186	n o k a ( - - )	216		to extinguish	Chakobo	noka-		n o k a		None		§290	Ch noka- ‘apagarse (el fuego)’, nokawa- ‘apagar (el fuego)’		None
4187	n o k a ( w a )	216		to extinguish	Chakobo	nokawa-		n o k a w a		None		§290	Ch noka- ‘apagarse (el fuego)’, nokawa- ‘apagar (el fuego)’		None
4188	n o k a ( - i )	216		to extinguish	Sharanawa	nokai		n o k a i		None		§290	Shar nokai, nokaa ‘apagar luz (fuego o vela)’		None
4189	n o k a ( - a )	216		to extinguish	Sharanawa	nokaa		n o k a a		None		§290	Shar nokai, nokaa ‘apagar luz (fuego o vela)’		None
4190	n u k a ( - - )	216		to extinguish	Shanenawa	nuka		n u k a		None		§290	Shan nuka ‘apagar’		None
4191	n o k a ( - - )	216		to extinguish	Amawaka	noka-		n o k a		II		§290	A noka- II		None
4192	n u k a ( - - )	216		to extinguish	Kaxinawa	nuka-		n u k a		None		§290	Kn nuka-		None
4193	n ó/o k á/a ( - - )	216		to extinguish	Marinawa	nóká		n ó/o k á/a		None		§290	M nóká ‘apagar el fuego o la luz’		None
4194	n u k a ( - - )	216		to extinguish	Yawanawa	nuka		n u k a		None		§290	Yaw nuka ‘apagado’		None
4195	rⁿ o n a - ( - - - - )	217		to swim	Proto-Panoan	[n]on[a]-		rⁿ o n a		None	Oliveira2014	§291	*[n]on[a]- ‘nadar’ :		None
4196	n u n - - ( + t i - )	217		canoe	Kakataibo	nun-ti		n u n + t i		None	Shell1987	§291	Ksh nun-ti ‘canoa’ (SHELL;; 1987)		None
4197	n o n o - ( - - - - )	217		to swim	ShipiboKonibo	nono		n o n o		None		§291	SK nono		None
4198	n o n a - ( - - - - )	217		to swim	Kapanawa	nona-		n o n a		None		§291	Kp nona-		None
4199	n u n a - ( - - - - )	217		to swim	Marubo	ˈnuna		n u n a		None	Anonby2010	§291	Mar ˈnuna ‘nadar’ (ANONBY; HOLBROOK;; 2010)		None
4200	n o n o - ( - - - - )	217		to swim	Chakobo	nono-		n o n o		None	Zingg1998	§291	Ch nono- ‘nadar;;  flotar’ (ZINGG;; 1998)		None
4201	n o n o - ( - - - - )	217		to swim	Yaminawa	nono		n o n o		None		§291	Yam nono ‘flotar’		None
4202	n o n o - ( i - - - )	217		to swim	Sharanawa	nonoi		n o n o i		None		§291	Shar nonoi, nonoa ‘flotar;;  estar flojo’		None
4203	n o n o - ( a - - - )	217		to swim	Sharanawa	nonoa		n o n o a		None		§291	Shar nonoi, nonoa ‘flotar;;  estar flojo’		None
4204	n u n u - ( - - - - )	217		to swim	Shanenawa	nunu		n u n u		None		§291	Shan nunu ‘boiar’		None
4205	n u n a - ( + - a i )	217		to swim	Katukina	nuna-ai		n u n a + a i		None		§291	Kat nuna-ai ‘nadar’		None
4206	n !ó/o n - - ( - t i - )	217		canoe	Amawaka	nónti		n !ó/o n t i		None	Hyde1980	§291	A nónti ‘canoa’ (HYDE;; 1980)		None
4207	n u n a - ( - - - - )	217		to swim	Kaxinawa	nuna-		n u n a		None		§291	Kn nuna-		None
4208	n u n u - ( - - - - )	217		to swim	Yawanawa	nuˈnu		n u n u		None	Souza2013	§291	Yaw nunu [nuˈnu] ‘boiar’ (SOUZA;; 2013)		None
4209	n u n - - ( - - - - )	217		to swim	Korubo	nun-		n u n		None		§291	Ko nun- ‘nadar’		None
4210	n u n - - ( + k i n )	217		to swim	Matis	nunkin		n u n + k i n		None		§291	Mt nunkin ‘nadar’		None
4211	n u - a d ( - - - - )	656		to swim	Mayoruna	nuad		n u a d		(A forma nuna de Kn não aparece no dicionário de Montag, apenas nono		§291	My **nuad ‘flotar’ (A forma nuna de Kn não aparece no dicionário de Montag;; apenas nono)		1
4212	n o n o	218		to swim	Proto-Panoan	nono-		n o n o		None	Oliveira2014	§292	*nono- ‘nadar’ :		None
4213	m ɨ ɲ o	654		to swim	Kakataibo	mɨño-		m ɨ ɲ o		None		§292	Ksh **mɨño- ‘nadar’		1
4214	n o n o	218		to swim	ShipiboKonibo	nono-		n o n o		None		§292	SK nono- ‘nadar’		None
4215	n o n o	218		to swim	Chakobo	nono-		n o n o		None		§292	Ch nono- ‘nadar’		None
4216	n o n o	218		to swim	Kaxinawa	nono-		n o n o		None		§292	Kn nono-		None
4217	n ó/o n o	218		to swim	Marinawa	nóno		n ó/o n o		None		§292	M nóno ‘flotar’		None
4218	r o r o m ( - - )	219		duck	Proto-Panoan	rorom		r o r o m		None	Oliveira2014	§293	*rorom ‘pato’ :		None
4219	n o n ṍ - ( - - )	219		duck	Kakataibo	nonṍ		n o n ṍ		None		§293	Ksh nonṍ		None
4220	n o n ṍ - ( - - )	219		duck	ShipiboKonibo	nonṍ		n o n ṍ		None		§293	SK nonṍ		None
4221	n o n ó/o n ( - - )	219		duck	Kapanawa	nonón		n o n ó/o n		None		§293	Kp nonón		None
4222	n o n o m ( a - )	219		duck	Chakobo	noˈnoma		n o n o m a		None		§293	Ch noˈnoma, noˈno ‘pato’ (ZINGG;; 1998), nonóma		None
4223	n o n o - ( - - )	219		duck	Chakobo	noˈno		n o n o		None	Zingg1998	§293	Ch noˈnoma, noˈno ‘pato’ (ZINGG;; 1998), nonóma		None
4224	n o n ó/o m ( a - )	219		duck	Chakobo	nonóma		n o n ó/o m a		None		§293	Ch noˈnoma, noˈno ‘pato’ (ZINGG;; 1998), nonóma		None
4225	l u l u m ( a - )	219		duck	Kaxarari	luluˈma		l u l u m a		None		§293	Kax luluˈma		None
4226	n o n o - ( - - )	219		duck	Chaninawa	nono		n o n o		None		§293	Chan nono		None
4227	n o n o - ( - n )	219		duck	Sharanawa	nonon		n o n o n		None		§293	Shar nonon, nonoman		None
4228	n o n o m ( a n )	219		duck	Sharanawa	nonoman		n o n o m a n		None		§293	Shar nonon, nonoman		None
4229	n u n u n ( - - )	219		duck	Shanenawa	nunun		n u n u n		None		§293	Shan nunun		None
4230	n u n u n ( - - )	219		duck	Katukina	nunun		n u n u n		None		§293	Kat nunun		None
4231	n ũ n ũ - ( - - )	219		duck	Poyanawa	nũnũ		n ũ n ũ		None		§293	Poy nũnũ		None
4232	n õ n õ - ( - - )	219		duck	Amawaka	nõnõ_I		n õ n õ		None		§293	A nõnõ I		None
4233	n u n u - ( - - )	219		duck	Kaxinawa	nunu		n u n u		None		§293	Kn nunu		None
4234	n ṍ/õ n ṍ - ( - - )	219		duck	Marinawa	nṍnṍ		n ṍ/õ n ṍ		None		§293	M nṍnṍ		None
4235	n u n u n ( - - )	219		duck	Yawanawa	nunun		n u n u n		None		§293	Yaw nunun		None
4236	rⁿ õ - t i	220		canoe	Proto-Panoan	[n]õti		rⁿ õ t i		None	Oliveira2014	§294	*[n]õti ‘canoa’ :		None
4237	n õ - t i	220		canoe	Kakataibo	nõti		n õ t i		None		§294	Ksh nõti		None
4238	n õ - t i	220		canoe	ShipiboKonibo	nõti		n õ t i		None		§294	SK nõti		None
4239	n o n t i	220		canoe	Kapanawa	nonti		n o n t i		None		§294	Kp nonti		None
4240	n o - t !í/i	220		canoe	Chakobo	notí		n o t !í/i		None		§294	Ch notí		None
4241	n u n t i	220		canoe	Katukina	nunti		n u n t i		None		§294	Kat nunti		None
4242	n õ - t i	220		canoe	Amawaka	nõti_I		n õ t i		None		§294	A nõti I		None
4243	n o - t i	220		canoe	Marinawa	noti		n o t i		None		§294	M noti		None
4244	n u n t e	220		canoe	Korubo	nunte		n u n t e		None		§294	Ko nunte ‘canoa’		None
4245	n u n t e	220		canoe	Matis	nunte		n u n t e		None		§294	Mt nunte ‘canoa’		None
4246	n u n t e	220		canoe	Mayoruna	nunte		n u n t e		None		§294	My nunte ‘canoa grande usada para hacer canoas provisionales;;  canoa provisional’		None
4247	rⁿ o j a ( - )	221		to fly	Proto-Panoan	[n]o[ya]-		rⁿ o j a		None	Oliveira2014	§295	*[n]o[ya]- ‘voar’ :		None
4248	n o - ã́/ã ( - )	221		to fly	Kakataibo	noã́		n o ã́/ã		None		§295	Ksh noã́		None
4249	n o j a ( - )	221		to fly	ShipiboKonibo	noya-		n o j a		None		§295	SK noya-		None
4250	n o j a ( - )	221		to fly	Kapanawa	noya-		n o j a		None		§295	Kp noya-		None
4251	n u j a ( - )	221		to fly	Marubo	ˈnuya		n u j a		None		§295	Mar ˈnuya		None
4252	n o j a ( - )	221		to fly	Chakobo	noya-		n o j a		None		§295	Ch noya-		None
4253	j o j a ( - )	221		to fly	Yaminawa	yoya		j o j a		None	Faust2002	§295	Yam yoya (FAUST; LOOS;; 2002)		None
4254	n o j a ( i )	221		to fly	Sharanawa	noyai		n o j a i		None		§295	Shar noyai, noyaa		None
4255	n o j a ( a )	221		to fly	Sharanawa	noyaa		n o j a a		None		§295	Shar noyai, noyaa		None
4256	n u j a ( - )	221		to fly	Shanenawa	nuya		n u j a		None		§295	Shan nuya		None
4257	n u j a ( - )	221		to fly	Kaxinawa	nuya-		n u j a		None		§295	Kn nuya-		None
4258	n o j a ( - )	221		to fly	Marinawa	noya-		n o j a		None		§295	M noya-		None
4259	n u i a ( - )	221		to fly	Yawanawa	nuia		n u i a		None		§295	Yaw nuia		None
4260	h o ( - - - )	222		to come, to arrive	Proto-Panoan	ho-		h o		None	Oliveira2014	§296	*ho- ‘vir;;  chegar’ :		None
4261	- o ( - - - )	222		to come, to arrive	Kakataibo	o-		o		None		§296	Ksh o-		None
4262	h o ( - - - )	222		to come, to arrive	ShipiboKonibo	ho-		h o		None		§296	SK ho-		None
4263	h o ( - - - )	222		to come, to arrive	Kapanawa	ho-		h o		None		§296	Kp ho-		None
4264	- ū ( - ă - )	222		to come, to arrive	Marubo	ūă		ū ă		None	Costa1992	§296	Mar ūă (COSTA;; 1992)		None
4265	h o ( - - - )	222		to come, to arrive	Chakobo	ho-		h o		None		§296	Ch ho-		None
4266	h u ( - - - )	222		to come, to arrive	Kaxarari	hu-		h u		None	Valenzuela2012	§296	Kax hu- (VALENZUELA; OLIVEIRA;; 2012)		None
4267	- o ( + k ĩ )	222		to come, to arrive	Yaminawa	o-kĩ		o + k ĩ		None	Eakin2008	§296	Yam o-kĩ ‘venir’ (EAKEN;; 2008)		None
4268	- o ( - i - )	222		to come, to arrive	Chaninawa	oi		o i		None		§296	Chan oi		None
4269	- o ( - i - )	222		to come, to arrive	Sharanawa	oi		o i		None		§296	Shar oi, oa		None
4270	- o ( - a - )	222		to come, to arrive	Sharanawa	oa		o a		None		§296	Shar oi, oa		None
4271	- u ( - - - )	222		to come, to arrive	Shanenawa	u-		u		None		§296	Shan u- ‘vir;;  chegar’		None
4272	h u ( + a i )	222		to come, to arrive	Katukina	hu-ai		h u + a i		None		§296	Kat hu-ai ‘chegar’		None
4273	h o ( - - - )	222		to come, to arrive	Amawaka	ho-		h o		None		§296	A ho-		None
4274	h u ( - - - )	222		to come, to arrive	Kaxinawa	hu-		h u		None		§296	Kn hu-		None
4275	- ó/o ( - - - )	222		to come, to arrive	Marinawa	ó-		ó/o		None		§296	M ó-		None
4276	- u ( - - - )	222		to come, to arrive	Yawanawa	u-		u		None		§296	Yaw u- ‘vir’		None
4277	tʃ o ( - - - )	775		to come, to arrive	Korubo	tʃo		tʃ o		None		§296	Ko **tʃo ‘vir’		1
4278	tʃ o ( - - - )	776		to come, to arrive	Matis	tʃo		tʃ o		None		§296	Mt **tʃo ‘vir’		1
4279	tʃ o ( - - - )	777		to come, to arrive	Mayoruna	tʃo		tʃ o		None		§296	My **tʃo ‘venir’		1
4280	( - - - - - - - ) h o - a - ( - )	223		flower	Proto-Panoan	hoa		h o a		None	Oliveira2014	§297	*hoa ‘flor’ :		None
4281	( - - - - - - - ) - o - a - ( - )	223		flower	Kakataibo	oa		o a		None		§297	Ksh oa		None
4282	( - - - - - - - ) h o - a - ( - )	223		flower	ShipiboKonibo	hoa		h o a		None		§297	SK hoa		None
